"Language","original","german","english","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"lb_adm_unlimited","Unlimited","Unendlich","Unlimited","Unlimited","Unlimited","Nielimitowany","Unlimited","Unlimited","Unlimited","Unlimited","Unlimited","Unlimited","Unlimited","Unlimited",
"lb_adm_title_freecam","Freecam","Freie Kamera","Freecam","Freecam","Freecam","Wolna Kamera","Freecam","Freecam","Freecam","Freecam","Freecam","Freecam","Freecam","Freecam",
"lb_adm_desc_freecam","Here you can enable and disable the Freecam or you use the shortcut. You can also change basic settings of your freecam here","Hier kannst du die Freie Kamera aktivieren und deaktivieren oder du verwendest die Tastenkombination dafür. Hier kannst du auch die Grundeinstellungen der Freien Kamera ändern","Here you can enable and disable the Freecam or you use the shortcut. You can also change basic settings of your freecam here","Here you can enable and disable the Freecam or you use the shortcut. You can also change basic settings of your freecam here","Here you can enable and disable the Freecam or you use the shortcut. You can also change basic settings of your freecam here","Tutaj możesz włączyć lub wyłączyć Wolną Kamerę albo użyć skrótu klawiszowego. Możesz także zmienić podstawowe ustawienia swojej Wolnej Kamery.","Here you can enable and disable the Freecam or you use the shortcut. You can also change basic settings of your freecam here","Here you can enable and disable the Freecam or you use the shortcut. You can also change basic settings of your freecam here","Here you can enable and disable the Freecam or you use the shortcut. You can also change basic settings of your freecam here","Here you can enable and disable the Freecam or you use the shortcut. You can also change basic settings of your freecam here","Here you can enable and disable the Freecam or you use the shortcut. You can also change basic settings of your freecam here","Here you can enable and disable the Freecam or you use the shortcut. You can also change basic settings of your freecam here","Here you can enable and disable the Freecam or you use the shortcut. You can also change basic settings of your freecam here","Here you can enable and disable the Freecam or you use the shortcut. You can also change basic settings of your freecam here",
"lb_adm_title_items_on_map","Items on Map","Gegenstände auf der Karte","Items on Map","Items on Map","Items on Map","Przedmioty na Mapie","Items on Map","Items on Map","Items on Map","Items on Map","Items on Map","Items on Map","Items on Map","Items on Map",
"lb_adm_desc_items_on_map","This page shows all items on the map.\nYou can also delete whole lists of items.\nSearching for items also allows you to search for baseitems like\n - transport\n - weapon_base\n - inventory_base\n - container_base\n - basebuildingbase\n \nSelect an item by clicking at the circle. To select multiple items, hold the Left-Control button while clicking on more entries. To delete the selected items, press the Delete key\nItems on the map with two numbers in brackets after their name have items in their cargo or as attachments. The first number is the count of items directly attached to this item or in the cargo of this item. The second number counts all items, so also children of these children like batteries in a scope of a weapon or items inside containers","Auf dieser Seite werden alle Gegenstände auf der Karte angezeigt.\nDu kannst auch ganze Listen von Gegenständen löschen.\nDie Suche nach Gegenständen ermöglicht auch die Suche nach Basisgegenständen wie\n - Transport\n - weapon_base\n - inventory_base\n - container_base\n - basebuildingbase\n\nWähle einen Gegenstand aus, indem du auf den Kreis klickst. Um mehrere Gegenstände auszuwählen, halte die linke Steuerungstaste gedrückt, während du auf mehrere Einträge klickst. Um die ausgewählten Gegenstände zu löschen, drücke die Entf-Taste\nGegenstände auf der Karte mit zwei Zahlen in Klammern hinter ihrem Namen haben Gegenstände in ihrer Fracht oder als Anhänge. Die erste Zahl gibt die Anzahl der Gegenstände an, die direkt an diesen Gegenstand angehängt sind oder sich in der Ladung dieses Gegenstands befinden. Die zweite Zahl zählt alle Gegenstände, also auch Kinder dieser Kinder wie Batterien in einem Waffenscope oder Gegenstände in Containern","This page shows all items on the map.\nYou can also delete whole lists of items.\nSearching for items also allows you to search for baseitems like\n - transport\n - weapon_base\n - inventory_base\n - container_base\n - basebuildingbase\n \nSelect an item by clicking at the circle. To select multiple items, hold the Left-Control button while clicking on more entries. To delete the selected items, press the Delete key\nItems on the map with two numbers in brackets after their name have items in their cargo or as attachments. The first number is the count of items directly attached to this item or in the cargo of this item. The second number counts all items, so also children of these children like batteries in a scope of a weapon or items inside containers","This page shows all items on the map.\nYou can also delete whole lists of items.\nSearching for items also allows you to search for baseitems like\n - transport\n - weapon_base\n - inventory_base\n - container_base\n - basebuildingbase\n \nSelect an item by clicking at the circle. To select multiple items, hold the Left-Control button while clicking on more entries. To delete the selected items, press the Delete key\nItems on the map with two numbers in brackets after their name have items in their cargo or as attachments. The first number is the count of items directly attached to this item or in the cargo of this item. The second number counts all items, so also children of these children like batteries in a scope of a weapon or items inside containers","This page shows all items on the map.\nYou can also delete whole lists of items.\nSearching for items also allows you to search for baseitems like\n - transport\n - weapon_base\n - inventory_base\n - container_base\n - basebuildingbase\n \nSelect an item by clicking at the circle. To select multiple items, hold the Left-Control button while clicking on more entries. To delete the selected items, press the Delete key\nItems on the map with two numbers in brackets after their name have items in their cargo or as attachments. The first number is the count of items directly attached to this item or in the cargo of this item. The second number counts all items, so also children of these children like batteries in a scope of a weapon or items inside containers","Ta strona pokazuje wszystkie przedmioty na mapie.\nMożesz także usunąć całe listy przedmiotów.\nWyszukiwanie przedmiotów pozwala również na wyszukiwanie przedmiotów bazowych takich jak\n - transport\n - weapon_base\n - inventory_base\n - container_base\n - basebuildingbase\n\nWybierz przedmiot, klikając w kółko. Aby wybrać wiele przedmiotów, przytrzymaj lewy klawisz Ctrl podczas klikania kolejnych wpisów. Aby usunąć wybrane przedmioty, naciśnij klawisz Delete.\nPrzedmioty na mapie z dwoma liczbami w nawiasach po nazwie mają przedmioty w swoim ładunku lub jako dodatki. Pierwsza liczba to ilość przedmiotów bezpośrednio przymocowanych do tego przedmiotu lub znajdujących się w jego ładunku. Druga liczba liczy wszystkie przedmioty, także dzieci tych przedmiotów, jak baterie w lunecie broni czy przedmioty w kontenerach.","This page shows all items on the map.\nYou can also delete whole lists of items.\nSearching for items also allows you to search for baseitems like\n - transport\n - weapon_base\n - inventory_base\n - container_base\n - basebuildingbase\n \nSelect an item by clicking at the circle. To select multiple items, hold the Left-Control button while clicking on more entries. To delete the selected items, press the Delete key\nItems on the map with two numbers in brackets after their name have items in their cargo or as attachments. The first number is the count of items directly attached to this item or in the cargo of this item. The second number counts all items, so also children of these children like batteries in a scope of a weapon or items inside containers","This page shows all items on the map.\nYou can also delete whole lists of items.\nSearching for items also allows you to search for baseitems like\n - transport\n - weapon_base\n - inventory_base\n - container_base\n - basebuildingbase\n \nSelect an item by clicking at the circle. To select multiple items, hold the Left-Control button while clicking on more entries. To delete the selected items, press the Delete key\nItems on the map with two numbers in brackets after their name have items in their cargo or as attachments. The first number is the count of items directly attached to this item or in the cargo of this item. The second number counts all items, so also children of these children like batteries in a scope of a weapon or items inside containers","This page shows all items on the map.\nYou can also delete whole lists of items.\nSearching for items also allows you to search for baseitems like\n - transport\n - weapon_base\n - inventory_base\n - container_base\n - basebuildingbase\n \nSelect an item by clicking at the circle. To select multiple items, hold the Left-Control button while clicking on more entries. To delete the selected items, press the Delete key\nItems on the map with two numbers in brackets after their name have items in their cargo or as attachments. The first number is the count of items directly attached to this item or in the cargo of this item. The second number counts all items, so also children of these children like batteries in a scope of a weapon or items inside containers","This page shows all items on the map.\nYou can also delete whole lists of items.\nSearching for items also allows you to search for baseitems like\n - transport\n - weapon_base\n - inventory_base\n - container_base\n - basebuildingbase\n \nSelect an item by clicking at the circle. To select multiple items, hold the Left-Control button while clicking on more entries. To delete the selected items, press the Delete key\nItems on the map with two numbers in brackets after their name have items in their cargo or as attachments. The first number is the count of items directly attached to this item or in the cargo of this item. The second number counts all items, so also children of these children like batteries in a scope of a weapon or items inside containers","This page shows all items on the map.\nYou can also delete whole lists of items.\nSearching for items also allows you to search for baseitems like\n - transport\n - weapon_base\n - inventory_base\n - container_base\n - basebuildingbase\n \nSelect an item by clicking at the circle. To select multiple items, hold the Left-Control button while clicking on more entries. To delete the selected items, press the Delete key\nItems on the map with two numbers in brackets after their name have items in their cargo or as attachments. The first number is the count of items directly attached to this item or in the cargo of this item. The second number counts all items, so also children of these children like batteries in a scope of a weapon or items inside containers","This page shows all items on the map.\nYou can also delete whole lists of items.\nSearching for items also allows you to search for baseitems like\n - transport\n - weapon_base\n - inventory_base\n - container_base\n - basebuildingbase\n \nSelect an item by clicking at the circle. To select multiple items, hold the Left-Control button while clicking on more entries. To delete the selected items, press the Delete key\nItems on the map with two numbers in brackets after their name have items in their cargo or as attachments. The first number is the count of items directly attached to this item or in the cargo of this item. The second number counts all items, so also children of these children like batteries in a scope of a weapon or items inside containers","This page shows all items on the map.\nYou can also delete whole lists of items.\nSearching for items also allows you to search for baseitems like\n - transport\n - weapon_base\n - inventory_base\n - container_base\n - basebuildingbase\n \nSelect an item by clicking at the circle. To select multiple items, hold the Left-Control button while clicking on more entries. To delete the selected items, press the Delete key\nItems on the map with two numbers in brackets after their name have items in their cargo or as attachments. The first number is the count of items directly attached to this item or in the cargo of this item. The second number counts all items, so also children of these children like batteries in a scope of a weapon or items inside containers","This page shows all items on the map.\nYou can also delete whole lists of items.\nSearching for items also allows you to search for baseitems like\n - transport\n - weapon_base\n - inventory_base\n - container_base\n - basebuildingbase\n \nSelect an item by clicking at the circle. To select multiple items, hold the Left-Control button while clicking on more entries. To delete the selected items, press the Delete key\nItems on the map with two numbers in brackets after their name have items in their cargo or as attachments. The first number is the count of items directly attached to this item or in the cargo of this item. The second number counts all items, so also children of these children like batteries in a scope of a weapon or items inside containers",
"lb_adm_waiting_for_itemlist","Waiting for Server to send item info...","Warte auf den Server, um die Gegenstände zu schicken...","Waiting for Server to send item info...","Waiting for Server to send item info...","Waiting for Server to send item info...","Oczekiwanie na wysłanie informacji o przedmiocie przez serwer...","Waiting for Server to send item info...","Waiting for Server to send item info...","Waiting for Server to send item info...","Waiting for Server to send item info...","Waiting for Server to send item info...","Waiting for Server to send item info...","Waiting for Server to send item info...","Waiting for Server to send item info...",
"lb_adm_not_in_types","Not in types.xml","Nicht in der types.xml","Not in types.xml","Not in types.xml","Not in types.xml","Nie ma w types.xml","Not in types.xml","Not in types.xml","Not in types.xml","Not in types.xml","Not in types.xml","Not in types.xml","Not in types.xml","Not in types.xml",
"lb_adm_items_on_map_info","Displaying %displayed% of %received% Items. As Children: %children%","Zeige %displayed% von %received% Gegenständen. As Kinder: %children%","Displaying %displayed% of %received% Items. As Children: %children%","Displaying %displayed% of %received% Items. As Children: %children%","Displaying %displayed% of %received% Items. As Children: %children%","Wyświetlono %displayed% z %received% przedmiotów. Jako elementy podrzędne: %children%","Displaying %displayed% of %received% Items. As Children: %children%","Displaying %displayed% of %received% Items. As Children: %children%","Displaying %displayed% of %received% Items. As Children: %children%","Displaying %displayed% of %received% Items. As Children: %children%","Displaying %displayed% of %received% Items. As Children: %children%","Displaying %displayed% of %received% Items. As Children: %children%","Displaying %displayed% of %received% Items. As Children: %children%","Displaying %displayed% of %received% Items. As Children: %children%",
"lb_adm_delete_on_map","Are you sure you want to delete all of %name% (%count% Items)","Bist du sicher, dass du alle %name% löschen willst (%count% Gegenstände)","Are you sure you want to delete all of %name% (%count% Items)","Are you sure you want to delete all of %name% (%count% Items)","Are you sure you want to delete all of %name% (%count% Items)","Czy na pewno chcesz usunąć wszystkie %name% (%count% przedmiotów)","Are you sure you want to delete all of %name% (%count% Items)","Are you sure you want to delete all of %name% (%count% Items)","Are you sure you want to delete all of %name% (%count% Items)","Are you sure you want to delete all of %name% (%count% Items)","Are you sure you want to delete all of %name% (%count% Items)","Are you sure you want to delete all of %name% (%count% Items)","Are you sure you want to delete all of %name% (%count% Items)","Are you sure you want to delete all of %name% (%count% Items)",
"lb_adm_delete_on_map_all","Are you sure you want to delete all of %count% different items (%total% Total Items)","Bist du sicher, dass du %count% verschiedene Gegenstände löschen willst (Insgesamt %totel% Gegenstände)","Are you sure you want to delete all of %count% different items (%total% Total Items)","Are you sure you want to delete all of %count% different items (%total% Total Items)","Are you sure you want to delete all of %count% different items (%total% Total Items)","Czy na pewno chcesz usunąć wszystkie %count% różne przedmioty (%total% łącznie przedmiotów)","Are you sure you want to delete all of %count% different items (%total% Total Items)","Are you sure you want to delete all of %count% different items (%total% Total Items)","Are you sure you want to delete all of %count% different items (%total% Total Items)","Are you sure you want to delete all of %count% different items (%total% Total Items)","Are you sure you want to delete all of %count% different items (%total% Total Items)","Are you sure you want to delete all of %count% different items (%total% Total Items)","Are you sure you want to delete all of %count% different items (%total% Total Items)","Are you sure you want to delete all of %count% different items (%total% Total Items)",
"lb_adm_watchlist","Watchlist","Beobachtungsliste","Watchlist","Watchlist","Watchlist","Lista Obserwowanych","Watchlist","Watchlist","Watchlist","Watchlist","Watchlist","Watchlist","Watchlist","Watchlist",
"lb_adm_no_player_selected","No player selected","Kein Spieler ausgewählt","No player selected","No player selected","No player selected","Nie wybrano gracza","No player selected","No player selected","No player selected","No player selected","No player selected","No player selected","No player selected","No player selected",
"lb_adm_could_not_parse_position","Could not parse position. Invalid format","Konnte die Position nicht lesen. Ungültiges Format","Could not parse position. Invalid format","Could not parse position. Invalid format","Could not parse position. Invalid format","Nie można przetworzyć pozycji. Nieprawidłowy format","Could not parse position. Invalid format","Could not parse position. Invalid format","Could not parse position. Invalid format","Could not parse position. Invalid format","Could not parse position. Invalid format","Could not parse position. Invalid format","Could not parse position. Invalid format","Could not parse position. Invalid format",
"lb_adm_player_already_on_watchlist","Player is already on the watchlist!","Der Spieler ist bereits auf der Beobachtungsliste","Player is already on the watchlist!","Player is already on the watchlist!","Player is already on the watchlist!","Gracz jest już na liście obserwowanych!","Player is already on the watchlist!","Player is already on the watchlist!","Player is already on the watchlist!","Player is already on the watchlist!","Player is already on the watchlist!","Player is already on the watchlist!","Player is already on the watchlist!","Player is already on the watchlist!",
"lb_adm_created_new_weather_preset","Created new weather Preset ","Neue Wetter-Voreinstellung erstellt","Created new weather Preset ","Created new weather Preset ","Created new weather Preset ","Utworzono nowy zestaw pogodowy","Created new weather Preset ","Created new weather Preset ","Created new weather Preset ","Created new weather Preset ","Created new weather Preset ","Created new weather Preset ","Created new weather Preset ","Created new weather Preset ",
"lb_adm_saved_weather_preset","Saved weather Preset ","Wetter-Voreinstellung gespeichert","Saved weather Preset ","Saved weather Preset ","Saved weather Preset ","Zapisano zestaw pogodowy","Saved weather Preset ","Saved weather Preset ","Saved weather Preset ","Saved weather Preset ","Saved weather Preset ","Saved weather Preset ","Saved weather Preset ","Saved weather Preset ",
"lb_adm_deleted_weather_preset","Deleted weather Preset ","Wetter-Voreinstellung gelöscht","Deleted weather Preset ","Deleted weather Preset ","Deleted weather Preset ","Usunięto zestaw pogodowy","Deleted weather Preset ","Deleted weather Preset ","Deleted weather Preset ","Deleted weather Preset ","Deleted weather Preset ","Deleted weather Preset ","Deleted weather Preset ","Deleted weather Preset ",
"lb_adm_deleted_time_preset","Deleted time Preset ","Zeit-Voreinstellung gelöscht","Deleted time Preset ","Deleted time Preset ","Deleted time Preset ","Usunięto zestaw czasu","Deleted time Preset ","Deleted time Preset ","Deleted time Preset ","Deleted time Preset ","Deleted time Preset ","Deleted time Preset ","Deleted time Preset ","Deleted time Preset ",
"lb_adm_created_new_time_preset","Created new time Preset ","Neue Zeit-Voreinstellung erstellt","Created new time Preset ","Created new time Preset ","Created new time Preset ","Utworzono nowy zestaw czasu","Created new time Preset ","Created new time Preset ","Created new time Preset ","Created new time Preset ","Created new time Preset ","Created new time Preset ","Created new time Preset ","Created new time Preset ",
"lb_adm_saved_time_preset","Saved time Preset ","Zeit-Voreinstellung gespeichert","Saved time Preset ","Saved time Preset ","Saved time Preset ","Zapisano zestaw czasu","Saved time Preset ","Saved time Preset ","Saved time Preset ","Saved time Preset ","Saved time Preset ","Saved time Preset ","Saved time Preset ","Saved time Preset ",
"lb_adm_kick","Kick","Rauswerfen","Kick","Kick","Kick","Wyrzuć","Kick","Kick","Kick","Kick","Kick","Kick","Kick","Kick",
"lb_adm_enter_a_kick_reason","Enter a Kick Reason","Gibt eine Begründung ein","Enter a Kick Reason","Enter a Kick Reason","Enter a Kick Reason","Wpisz powód wyrzucenia","Enter a Kick Reason","Enter a Kick Reason","Enter a Kick Reason","Enter a Kick Reason","Enter a Kick Reason","Enter a Kick Reason","Enter a Kick Reason","Enter a Kick Reason",
"lb_adm_enter_a_number_between_0001_and_100","Enter a number between 0.001 and 100","Gib eine Zahl zwischen 0.001 und 100 ein","Enter a number between 0.001 and 100","Enter a number between 0.001 and 100","Enter a number between 0.001 and 100","Wpisz liczbę między 0.001 a 100","Enter a number between 0.001 and 100","Enter a number between 0.001 and 100","Enter a number between 0.001 and 100","Enter a number between 0.001 and 100","Enter a number between 0.001 and 100","Enter a number between 0.001 and 100","Enter a number between 0.001 and 100","Enter a number between 0.001 and 100",
"lb_adm_send","Send","Senden","Send","Send","Send","Wyślij","Send","Send","Send","Send","Send","Send","Send","Send",
"lb_adm_enter_your_message","Enter your message","Gib deine Nachricht ein","Enter your message","Enter your message","Enter your message","Wpisz swoją wiadomość","Enter your message","Enter your message","Enter your message","Enter your message","Enter your message","Enter your message","Enter your message","Enter your message",
"lb_adm_rename","Rename","Umbenennen","Rename","Rename","Rename","Zmień nazwę","Rename","Rename","Rename","Rename","Rename","Rename","Rename","Rename",
"lb_adm_rename_your_preset","Rename your Preset","Benenne die Voreinstellung um","Rename your Preset","Rename your Preset","Rename your Preset","Zmień nazwę swojego zestawu","Rename your Preset","Rename your Preset","Rename your Preset","Rename your Preset","Rename your Preset","Rename your Preset","Rename your Preset","Rename your Preset",
"lb_adm_name_your_new_preset","Name your new Preset","Gib einen neuen Namen ein","Name your new Preset","Name your new Preset","Name your new Preset","Nadaj nazwę swojemu nowemu zestawowi","Name your new Preset","Name your new Preset","Name your new Preset","Name your new Preset","Name your new Preset","Name your new Preset","Name your new Preset","Name your new Preset",
"lb_adm_restart","Restart","Neustarten","Restart","Restart","Restart","Restart","Restart","Restart","Restart","Restart","Restart","Restart","Restart","Restart",
"lb_adm_restart_server_in__seconds","Restart server in ... seconds","Starte den Server in .. Sekunden neu","Restart server in ... seconds","Restart server in ... seconds","Restart server in ... seconds","Restart serwera za ... sekund","Restart server in ... seconds","Restart server in ... seconds","Restart server in ... seconds","Restart server in ... seconds","Restart server in ... seconds","Restart server in ... seconds","Restart server in ... seconds","Restart server in ... seconds",
"lb_adm_lock","Lock","Sperren","Lock","Lock","Lock","Zablokuj","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock",
"lb_adm_enter_a_lock_message","Enter a lock Message","Gib eine Sperrungs-Nachricht ein","Enter a lock Message","Enter a lock Message","Enter a lock Message","Wpisz wiadomość blokady","Enter a lock Message","Enter a lock Message","Enter a lock Message","Enter a lock Message","Enter a lock Message","Enter a lock Message","Enter a lock Message","Enter a lock Message",
"lb_adm_teleport","Teleport","Teleportieren","Teleport","Teleport","Teleport","Teleport","Teleport","Teleport","Teleport","Teleport","Teleport","Teleport","Teleport","Teleport",
"lb_adm_enter_the_coordinates_to_teleport_to","Enter the coordinates to teleport to","Gib Koordinaten zum Teleportieren ein","Enter the coordinates to teleport to","Enter the coordinates to teleport to","Enter the coordinates to teleport to","Wpisz współrzędne, do których chcesz się przeteleportować","Enter the coordinates to teleport to","Enter the coordinates to teleport to","Enter the coordinates to teleport to","Enter the coordinates to teleport to","Enter the coordinates to teleport to","Enter the coordinates to teleport to","Enter the coordinates to teleport to","Enter the coordinates to teleport to",
"lb_adm_save_your_preset","Save your preset","Voreinstellung gespeichert","Save your preset","Save your preset","Save your preset","Zapisz swój zestaw","Save your preset","Save your preset","Save your preset","Save your preset","Save your preset","Save your preset","Save your preset","Save your preset",
"lb_adm_save_your_weather_preset","Save your weather preset","Wetter-Voreinstellung gespeichert","Save your weather preset","Save your weather preset","Save your weather preset","Zapisz swój zestaw pogodowy","Save your weather preset","Save your weather preset","Save your weather preset","Save your weather preset","Save your weather preset","Save your weather preset","Save your weather preset","Save your weather preset",
"lb_adm_construction_editor_select_list","Select a basebuilding Item","Wähle ein Basisgegenstand aus","Select a basebuilding Item","Select a basebuilding Item","Select a basebuilding Item","Wybierz przedmiot budowlany","Select a basebuilding Item","Select a basebuilding Item","Select a basebuilding Item","Select a basebuilding Item","Select a basebuilding Item","Select a basebuilding Item","Select a basebuilding Item","Select a basebuilding Item",
"lb_adm_title_item_spawner","Item Spawner","Gegenstands-Spawner","Item Spawner","Item Spawner","Item Spawner","Spawner Przedmiotów","Item Spawner","Item Spawner","Item Spawner","Item Spawner","Item Spawner","Item Spawner","Item Spawner","Item Spawner",
"lb_adm_desc_item_spawner","The Tool used to spawn Items.\nDefault Shortcuts:\n- %ground_keybind%: Spawn Selected item on ground\n- %inventory_keybind% Spawn Item in inventory\n- %cursor_keybind%: Spawn Item at Cursor","Hier kannst du Gegenstände spawnen.\nStandard Tastenkombinationen:\n- %ground_keybind%: Gegenstand auf dem Boden spawnen\n- %inventory_keybind% Gegenstand im Inventar spawnen\n- %cursor_keybind%: Gegenstand beim Cursor spawnen","The Tool used to spawn Items.\nDefault Shortcuts:\n- %ground_keybind%: Spawn Selected item on ground\n- %inventory_keybind% Spawn Item in inventory\n- %cursor_keybind%: Spawn Item at Cursor","The Tool used to spawn Items.\nDefault Shortcuts:\n- %ground_keybind%: Spawn Selected item on ground\n- %inventory_keybind% Spawn Item in inventory\n- %cursor_keybind%: Spawn Item at Cursor","The Tool used to spawn Items.\nDefault Shortcuts:\n- %ground_keybind%: Spawn Selected item on ground\n- %inventory_keybind% Spawn Item in inventory\n- %cursor_keybind%: Spawn Item at Cursor","Narzędzie służące do tworzenia przedmiotów.\nDomyślne skróty klawiszowe:\n- %ground_keybind%: Utwórz wybrany przedmiot na ziemi\n- %inventory_keybind%: Utwórz przedmiot w ekwipunku\n- %cursor_keybind%: Utwórz przedmiot przy kursorem","The Tool used to spawn Items.\nDefault Shortcuts:\n- %ground_keybind%: Spawn Selected item on ground\n- %inventory_keybind% Spawn Item in inventory\n- %cursor_keybind%: Spawn Item at Cursor","The Tool used to spawn Items.\nDefault Shortcuts:\n- %ground_keybind%: Spawn Selected item on ground\n- %inventory_keybind% Spawn Item in inventory\n- %cursor_keybind%: Spawn Item at Cursor","The Tool used to spawn Items.\nDefault Shortcuts:\n- %ground_keybind%: Spawn Selected item on ground\n- %inventory_keybind% Spawn Item in inventory\n- %cursor_keybind%: Spawn Item at Cursor","The Tool used to spawn Items.\nDefault Shortcuts:\n- %ground_keybind%: Spawn Selected item on ground\n- %inventory_keybind% Spawn Item in inventory\n- %cursor_keybind%: Spawn Item at Cursor","The Tool used to spawn Items.\nDefault Shortcuts:\n- %ground_keybind%: Spawn Selected item on ground\n- %inventory_keybind% Spawn Item in inventory\n- %cursor_keybind%: Spawn Item at Cursor","The Tool used to spawn Items.\nDefault Shortcuts:\n- %ground_keybind%: Spawn Selected item on ground\n- %inventory_keybind% Spawn Item in inventory\n- %cursor_keybind%: Spawn Item at Cursor","The Tool used to spawn Items.\nDefault Shortcuts:\n- %ground_keybind%: Spawn Selected item on ground\n- %inventory_keybind% Spawn Item in inventory\n- %cursor_keybind%: Spawn Item at Cursor","The Tool used to spawn Items.\nDefault Shortcuts:\n- %ground_keybind%: Spawn Selected item on ground\n- %inventory_keybind% Spawn Item in inventory\n- %cursor_keybind%: Spawn Item at Cursor",
"lb_adm_item_spawner_inventory","Inventory","Inventar","Inventory","Inventory","Inventory","Ekwipunek","Inventory","Inventory","Inventory","Inventory","Inventory","Inventory","Inventory","Inventory",
"lb_adm_item_spawner_ground","Ground","Boden","Ground","Ground","Ground","Ziemia","Ground","Ground","Ground","Ground","Ground","Ground","Ground","Ground",
"lb_adm_item_spawner_cursor","Cursor","Cursor","Cursor","Cursor","Cursor","Kursor","Cursor","Cursor","Cursor","Cursor","Cursor","Cursor","Cursor","Cursor",
"lb_adm_item_spawner_target","Target","Ziel","Target","Target","Target","Cel","Target","Target","Target","Target","Target","Target","Target","Target",
"lb_adm_item_spawner_selected_player","Selected Player","Ausgewählte Spieler","Selected Player","Selected Player","Selected Player","Wybrany Gracz","Selected Player","Selected Player","Selected Player","Selected Player","Selected Player","Selected Player","Selected Player","Selected Player",
"lb_adm_title_looking_at_info","Looking at Info","Angeschautes Objekt","Looking at Info","Looking at Info","Looking at Info","Informacje o Obiekcie","Looking at Info","Looking at Info","Looking at Info","Looking at Info","Looking at Info","Looking at Info","Looking at Info","Looking at Info",
"lb_adm_desc_looking_at_info","Here you see info about the item you are currently looking at and you can also copy the information directly to your clipboard with CTRL + C. You can also check what info you want to copy. Make sure to have at least one checkbox checked","Hier siehst du informationen über den Gegenstand, den du aktuell anschaust. Du kannst diese Informationen direkt in die Zwischenablage kopieren mit STRG + C. Stelle sicher, dass du mindestens eine der Kontrollkästchen ausgewählt hast","Here you see info about the item you are currently looking at and you can also copy the information directly to your clipboard with CTRL + C. You can also check what info you want to copy. Make sure to have at least one checkbox checked","Here you see info about the item you are currently looking at and you can also copy the information directly to your clipboard with CTRL + C. You can also check what info you want to copy. Make sure to have at least one checkbox checked","Here you see info about the item you are currently looking at and you can also copy the information directly to your clipboard with CTRL + C. You can also check what info you want to copy. Make sure to have at least one checkbox checked","Tutaj widzisz informacje o przedmiocie, na który aktualnie patrzysz, i możesz skopiować te informacje bezpośrednio do schowka za pomocą CTRL + C. Możesz również wybrać, jakie informacje chcesz skopiować. Upewnij się, że co najmniej jedno pole wyboru jest zaznaczone.","Here you see info about the item you are currently looking at and you can also copy the information directly to your clipboard with CTRL + C. You can also check what info you want to copy. Make sure to have at least one checkbox checked","Here you see info about the item you are currently looking at and you can also copy the information directly to your clipboard with CTRL + C. You can also check what info you want to copy. Make sure to have at least one checkbox checked","Here you see info about the item you are currently looking at and you can also copy the information directly to your clipboard with CTRL + C. You can also check what info you want to copy. Make sure to have at least one checkbox checked","Here you see info about the item you are currently looking at and you can also copy the information directly to your clipboard with CTRL + C. You can also check what info you want to copy. Make sure to have at least one checkbox checked","Here you see info about the item you are currently looking at and you can also copy the information directly to your clipboard with CTRL + C. You can also check what info you want to copy. Make sure to have at least one checkbox checked","Here you see info about the item you are currently looking at and you can also copy the information directly to your clipboard with CTRL + C. You can also check what info you want to copy. Make sure to have at least one checkbox checked","Here you see info about the item you are currently looking at and you can also copy the information directly to your clipboard with CTRL + C. You can also check what info you want to copy. Make sure to have at least one checkbox checked","Here you see info about the item you are currently looking at and you can also copy the information directly to your clipboard with CTRL + C. You can also check what info you want to copy. Make sure to have at least one checkbox checked",
"lb_adm_looking_at_item","Item","Gegenstand","Item","Item","Item","Przedmiot","Item","Item","Item","Item","Item","Item","Item","Item",
"lb_adm_looking_at_pos","Pos","Pos","Pos","Pos","Pos","Pozycja","Pos","Pos","Pos","Pos","Pos","Pos","Pos","Pos",
"lb_adm_looking_at_dir","Dir","Richtung","Dir","Dir","Dir","Dir","Dir","Dir","Dir","Dir","Dir","Dir","Dir","Dir",
"lb_adm_ground","GROUND","BODEN","GROUND","GROUND","GROUND","ZIEMIA","GROUND","GROUND","GROUND","GROUND","GROUND","GROUND","GROUND","GROUND",
"lb_adm_none","NONE","NICHTS","NONE","NONE","NONE","BRAK","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",
